"","new_pcon","con","lab","ld","grn","brx","pc","snp","other","total_votes","con_pct","lab_pct","ld_pct","grn_pct","brx_pct","pc_pct","snp_pct","other_pct","winning_pct","winner"
"1","Aberafan Porthcawl",12673.1996642626,22259.8541565743,1988.68228357772,720.725186752889,3947.85216560249,3755.33757266274,0,731,46076.6510294327,0.27504602398658,0.483104862424901,0.0431603043873002,0.0156418743691356,0.0856801021211522,0.0815019644171604,0,0.015864868293771,0.483104862424901,"Lab"
"2","Aberdeen North",13468.9881415147,4929.56342850036,3901.55071940671,563.103739110687,909.693134775484,0,20398.6159226343,0,44171.5150859423,0.304924748795887,0.111600505866941,0.0883273012441539,0.0127481191898237,0.0205945649137355,0,0.461804759989459,0,0.461804759989459,"SNP"
"3","Aberdeen South",17511.0204976981,4818.84169764104,5485.45992625247,316.896260889313,98.3068652245155,0,27086.1810485894,0,55316.7062962948,0.316559348344118,0.087113677228534,0.099164615782988,0.00572876228732619,0.00177716411201258,0,0.489656432245021,0,0.489656432245021,"SNP"
"4","Aberdeenshire Central",23465.0016289805,2428.72999529427,5300.76704536066,0,0,0,22060.1823763311,0,53254.6810459665,0.440618574144249,0.0456059438830912,0.0995361711167762,0,0,0,0.414239310855884,0,0.440618574144249,"Con"
"5","Aberdeenshire North and Moray East",21720.2528335841,2020.77329672341,1978.82723569912,0,0,0,18488.4759549209,154.956086605195,44363.2854075327,0.489599736224587,0.0455505780998873,0.0446050651461246,0,0,0,0.416751730289606,0.00349289023979463,0.489599736224587,"Con"
"6","Airdrie",7887.5615930582,14390.5659525629,1597.868668643,643.003180332815,0,0,20612.2399074745,127.129554332089,45258.3688564035,0.17427852113018,0.317964750303343,0.0353054851294517,0.0142073874198371,0,0,0.455434882615265,0.00280897340192368,0.455434882615265,"SNP"
"7","Aldershot BC",30190.7442187556,11652.9135650003,7614.82618100243,1871.98635288364,0,0,0,81.8673999970022,51412.337717639,0.587227610317309,0.226655975633692,0.148112817254561,0.0364112280434465,0,0,0,0.00159236875099174,0.587227610317309,"Con"
"8","Aldridge-Brownhills BC",33546.7253319263,10269.3894200825,2884.24616030858,916.625604790696,223.222154045937,0,0,401.823496585569,48242.0321677395,0.695383751979663,0.212872239386089,0.0597869955038365,0.0190005595453266,0.00462712999464419,0,0,0.00832932359044105,0.695383751979663,"Con"
"9","Altrincham and Sale West BC",26407.0999528222,20197.0246376435,6051.49033223086,1569.79501651392,7.67842558523256,0,0,676.948103242236,54910.0364680379,0.480915724180829,0.367820273610632,0.110207363197679,0.028588489782331,0.000139836468506118,0,0,0.0123283127600229,0.480915724180829,"Con"
"10","Alyn and Deeside",20862.3108603727,22564.1010837397,2799.35885735364,0,3429.00540953757,1648.72818339552,0,0,51303.5043943992,0.406644947682176,0.439815980410941,0.0545646713689064,0,0.0668376449136273,0.0321367556243489,0,0,0.439815980410941,"Lab"
"11","Amber Valley CC",29096,12210,2873,1388,0,0,0,0,45567,0.638532271161147,0.267957074198433,0.0630500142647091,0.0304606403757105,0,0,0,0,0.638532271161147,"Con"
"12","Argyll, Bute and South Lochaber",17467.5709399107,3370.63038678755,7918.24878157168,0,59.8533650812718,0,22237.678331043,44.8194991149638,51098.8013035092,0.341839152667386,0.0659630030608188,0.154959579864506,0,0.0011713262063774,0,0.435189823709541,0.000877114491370385,0.435189823709541,"SNP"
"13","Arundel and South Downs CC",35864.8586776573,7273.28751219748,13992.4718726473,2466.77671051185,0,0,0,488.464375445979,60085.8591484599,0.596893498502577,0.121048240222823,0.232874624261838,0.0410541972016568,0,0,0,0.00812943981110569,0.596893498502577,"Con"
"14","Ashfield CC",17074.5777994226,11232.6335276351,926.041974770197,573.593720959422,2162.73325714421,0,0,11727.1307689338,43696.7110488653,0.390752012899287,0.257059015610438,0.0211924868609589,0.0131267023808264,0.0494941885837965,0,0,0.268375593664693,0.390752012899287,"Con"
"15","Ashford CC",28497.9185201011,13026.4449601908,4377.04470165859,2118.22761590755,0,0,0,693.924032945601,48713.5598308037,0.585009977079948,0.267409013125615,0.0898526963921613,0.0434833262702371,0,0,0,0.0142449871320388,0.585009977079948,"Con"
"16","Ashton-under-Lyne BC",14377.1732995804,19981.3239558,1471.93466588194,1255.10728564803,3177.65917123847,0,0,83.2430705250332,40346.4414486738,0.356343032578724,0.49524377462679,0.0364823913344239,0.0311082524401736,0.0787593417694814,0,0,0.0020632072504072,0.49524377462679,"Lab"
"17","Aylesbury CC",28262.8734344441,14910.8149370026,7815.86569247744,1487.98752060644,264.431556599032,0,0,166.324522482035,52908.2976636117,0.534186029082585,0.281823751574939,0.147724762232388,0.0281238971260611,0.00499792222158185,0,0,0.00314363776244547,0.534186029082585,"Con"
"18","Ayr, Carrick and Cumnock",17912.0327777083,6222.1272819044,2164.54810295582,0,0,0,20280.9114469208,0.64244139141274,46580.2620508807,0.384541262523224,0.133578623390049,0.0464692126590321,0,0,0,0.435397109289928,1.37921377666572e-05,0.435397109289928,"SNP"
"19","Banbury CC",25860.1083784475,11265.860393978,9896.92611793732,1565.1010885446,0,0,0,0,48587.9959789074,0.5322324548984,0.231865096861962,0.203690765970955,0.0322116822686828,0,0,0,0,0.5322324548984,"Con"
"20","Bangor Aberconwy",20664.0130783809,18794.7504149916,2298.09668235749,0,410.682722406443,7105.99889726003,0,0,49273.5417953965,0.419373406608077,0.381436968607513,0.0466395675776689,0,0.00833475141916452,0.144215305787576,0,0,0.419373406608077,"Con"
